X,ID,MY,PH,TH
8.999575306,-0.002621817,-0.002817214,-0.002567659,-0.002763268
8.998049915,-0.002672041,-0.002692578,-0.00258915,-0.002814951
8.996524524,-0.002615374,-0.002732575,-0.002497987,-0.002845552
8.994999133,-0.002615365,-0.002747321,-0.002607346,-0.0027425
8.993473742,-0.002707651,-0.002661154,-0.002571915,-0.002712103
8.991948351,-0.002623423,-0.002894992,-0.002631016,-0.002715346
8.99042296,-0.00275901,-0.002700133,-0.00248375,-0.002773636
8.988897569,-0.002780798,-0.002793424,-0.002581178,-0.002730351
8.987372178,-0.002688671,-0.002702937,-0.002525903,-0.002755501
8.985846787,-0.002570586,-0.00276036,-0.00260997,-0.002777799
8.984321396,-0.002645371,-0.002790394,-0.0024916,-0.002856374
8.982796005,-0.002646085,-0.002727625,-0.002573626,-0.002904138
8.981270614,-0.002585694,-0.002749967,-0.002507625,-0.002769914
8.979745223,-0.002587687,-0.002740084,-0.002511,-0.00282928
8.978219832,-0.002689453,-0.002679125,-0.002599422,-0.002822882
8.976694441,-0.002685775,-0.002746619,-0.002444867,-0.002845854
8.97516905,-0.002588717,-0.002726138,-0.002570154,-0.002763701
8.973643659,-0.002659357,-0.002747497,-0.002466579,-0.002803901
8.972118268,-0.002643206,-0.002807456,-0.002670399,-0.002863658
8.970592877,-0.002682367,-0.002840402,-0.002480951,-0.002794482
8.969067486,-0.002698376,-0.002648141,-0.002538248,-0.002786939
8.967542095,-0.002630394,-0.002733975,-0.002655229,-0.002634511
8.966016703,-0.0027131,-0.002799293,-0.002582151,-0.002696769
8.964491312,-0.002567978,-0.002748247,-0.002586407,-0.00282544
8.962965921,-0.00272776,-0.002726798,-0.002516077,-0.002799734
8.96144053,-0.002627254,-0.002720442,-0.002566306,-0.002850512
8.959915139,-0.002592262,-0.002863837,-0.002660661,-0.002830232
8.958389748,-0.002667839,-0.002801025,-0.002556665,-0.002781938
8.956864357,-0.002783807,-0.002890206,-0.002556038,-0.002811172
8.955338966,-0.002633248,-0.002819179,-0.002575744,-0.002809132
8.953813575,-0.002692604,-0.002703459,-0.002559992,-0.002905634
8.952288184,-0.002596356,-0.00279617,-0.002668216,-0.002766525
8.950762793,-0.002608544,-0.002708491,-0.00257972,-0.002855879
8.949237402,-0.00262561,-0.002691866,-0.002481507,-0.00284402
8.947712011,-0.002773516,-0.002731908,-0.002580846,-0.002807559
8.94618662,-0.002582823,-0.002630404,-0.002580537,-0.002897881
8.944661229,-0.002599389,-0.002702108,-0.002545208,-0.002794637
8.943135838,-0.002618676,-0.002640638,-0.002528389,-0.002911117
8.941610447,-0.00268418,-0.002770562,-0.002610013,-0.002753193
8.940085056,-0.002663735,-0.002654848,-0.002524129,-0.002812513
